pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude,validacion
1455183869884391426,tránsito,palabras clave,@UCS_GCDMX @OVIALCDMX @Tu_IMSS Buen día reportar base de taxi clandestina poniendo objetos sobre el arroyo vehicular impidiendo el tránsito. Frente a clínica 3 del IMSS quitando el libre acceso de pacientes. Calle Oriente 91 entre norte 68 y norte 70-A Col. La joya GAM https://t.co/kHSj7BBUsV,"['buen', 'día', 'reportar', 'base', 'taxi', 'clandestino', 'poner', 'objeto', 'arroyo', 'vehicular', 'impedir', 'tránsito', 'frente', 'clínica', 'miss', 'quitar', 'libre', 'acceso', 'paciente', 'calle', 'oriente', '91', 'norte', '68', 'norte', '70-a', 'col', 'joya', 'gam']",[],"['UCS_GCDMX', 'OVIALCDMX', 'Tu_IMSS']",0,2,0,1205473004907585537,Alex,alexruizsolis,2019-12-13 07:02:29,0,30,448,2021-11-01 08:44:05,2021,11,1,8,44,5,Gustavo A. Madero,-99.1158642087,19.5040652077,True
1455349444245868547,incendio,palabras clave,"@SEDEMA_CDMX tengo una denuncia el día sábado se incendio un predio de paracaidistas que se encuentra en playa hornos esquina eje 6 alcaldía Iztapalapa, el cual resulto afectado y  ahora dejaron los escombros  donde lo reporto https://t.co/3FNl9rXD8x","['denuncia', 'día', 'sábado', 'incendio', 'predio', 'paracaidista', 'encontrar', 'playa', 'hornos', 'esquina', 'eje', 'alcaldía', 'iztapalapa', 'resulto', 'afectado', 'ahora', 'dejar', 'escombro', 'reporto']",[],['SEDEMA_CDMX'],0,2,0,904923311745884160,Soreim,Soreimcouture,2017-09-04 22:25:04,0,15,211,2021-11-01 19:42:01,2021,11,1,19,42,7,Iztapalapa,-99.0567989642,19.3491663204,True
1455606908711211017,incendio,palabras clave,"⚠️#Precaución Servicios de emergencia trabajan por incendio de casa-habitación en la colonia San Miguel Teotongo, @Alc_Iztapalapa.
☎️#911CDMX 
📹#C5 https://t.co/1vNz5GAMwJ","['servicio', 'emergencia', 'trabajar', 'incendio', 'casa-habitación', 'colonia', 'san', 'miguel', 'teotongo']","['Precaución', '911CDMX', 'C5']",['Alc_Iztapalapa'],44,0,9,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926200,763,2021-11-02 12:45:05,2021,11,2,12,45,7,Iztapalapa,-99.0567989642,19.3491663204,True
1455610513795264514,incendio,palabras clave,"⚠️#Precaución Servicios de emergencia trabajan por incendio de casa-habitación en la colonia San Miguel Teotongo, @Alc_Iztapalapa. https://t.co/ewlgJWxlJe","['servicio', 'emergencia', 'trabajar', 'incendio', 'casa-habitación', 'colonia', 'san', 'miguel', 'teotongo']",['Precaución'],['Alc_Iztapalapa'],0,0,0,771779820,Central Municipal,Central_CM,2012-08-21 10:10:16,0,34905,24853,2021-11-02 12:59:25,2021,11,2,12,59,7,Iztapalapa,-99.0567989642,19.3491663204,True
1455664057072168961,tránsito,palabras clave,"Si pero en la CDMX nadie nadie respeta el reglamento de Tránsito. 
Vehículos de lujo con polarizado, sin placas sin verificación.
Aquí no se respeta ni un alto en las colonias populares.
Vaya de la V Carranza a la GAM.
Ni el confinado del Metrobús...
Van a parar uno de lujo? :) https://t.co/hSpEC9MFec","['si', 'cdmx', 'nadie', 'nadie', 'respetar', 'reglamento', 'tránsito', 'vehículo', 'lujo', 'polarizado', 'placa', 'verificación', 'aquí', 'respetar', 'alto', 'colonias', 'populares', 'vaya', 'carranza', 'gam', 'confinado', 'metrobús', 'ir', 'parar', 'lujo']",[],[],0,0,0,78197592,Hugo Otilio DM,hugootilio,2009-09-28 20:53:05,0,396,456,2021-11-02 16:32:10,2021,11,2,16,32,5,Gustavo A. Madero,-99.1158642087,19.5040652077,True
1455771585055498245,incendio,palabras clave,"#Precaución🚨🔥Servicios de emergencia trabajan por incendio de casa habitación en la colonia Palmitas, @Alc_Iztapalapa.

¡En caso de emergencia marca al #911CDMX! 📲

#C5 📹","['emergencia', 'trabajar', 'incendio', 'casa', 'habitación', 'colonia', 'palomita', 'caso', 'emergencia', 'marca']","['Precaución', '911CDMX', 'C5']",['Alc_Iztapalapa'],21,0,3,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926200,763,2021-11-02 23:39:27,2021,11,2,23,39,7,Iztapalapa,-99.0567989642,19.3491663204,True
1456002679847653381,incendio,palabras clave,"14:56 #PrecauciónVial | Servicios de emergergencia acuden a Cantón y Calle Siberia, col. Romero Rubio, alcaldía Venustiano Carranza, por reporte de incendio. Conduce con precaución para evitar accidentes. https://t.co/Ayk5JSkdf0","['14', '56', 'servicio', 'emergergencia', 'acudir', 'cantón', 'calle', 'siberia', 'col', 'romero', 'rubio', 'alcaldía', 'venustiano', 'carranza', 'reporte', 'incendio', 'conducir', 'precaución', 'evitar', 'accidente']",['PrecauciónVial'],[],0,0,0,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935869,133,2021-11-03 14:57:44,2021,11,3,14,57,17,Venustiano Carranza,-99.0931057959,19.4304954545,True
1456237121912594433,incendio,palabras clave,¡Precaución! Servicios de emergencia atienden incendio en la colonia Cuauhtémoc.,"['precaución', 'servicio', 'emergencia', 'atender', 'incendio', 'colonia', 'cuauhtemoc']",[],[],6,0,3,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897302,69,2021-11-04 06:29:20,2021,11,4,6,29,15,Cuauhtémoc,-99.1490557562,19.4313734294,True
1456403101364080642,incendio,palabras clave,"¡Precaución! Por un #incendio de negocio, servicios de emergencia se dirigen a la colonia Polanco V Sección, alcaldía Miguel Hidalgo.","['precaución', 'negocio', 'servicio', 'emergencia', 'dirigir', 'colonia', 'polanco', 'sección', 'alcaldía', 'miguel', 'hidalgo']",['incendio'],[],10,0,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897302,69,2021-11-04 17:28:52,2021,11,4,17,28,16,Miguel Hidalgo,-99.2045669144,19.4280623649,True
1456451257946812430,incendio,palabras clave,"20:40 #PrecauciónVial | Servicios de emergencia acuden a Sur 111 y Av. Fray Servando Teresa de Mier, col. Aeronáutica Militar, alcaldía Venustiano Carranza, por incendio. Conduce con precaución y evita circular por la zona. https://t.co/PCv02yiQBQ","['20', '40', 'servicio', 'emergencia', 'acudir', 'sur', '111', 'av', 'fray', 'servando', 'teresa', 'mier', 'col', 'aeronáutica', 'militar', 'alcaldía', 'venustiano', 'carranza', 'incendio', 'conducir', 'precaución', 'evitar', 'circular', 'zona']",['PrecauciónVial'],[],1,0,1,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935869,133,2021-11-04 20:40:14,2021,11,4,20,40,17,Venustiano Carranza,-99.0931057959,19.4304954545,True
